source,target,method_id,scope,held_out_group,metric,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,ci_width,fixed_draw_count,valid_draw_count,invalid_draw_count,valid_draw_fraction,original_metric_status
a1_5,looping,S0_full13,macro,,f1,0.8645200477871592,0.8629541673090053,0.8015521162737405,0.9168206822398047,0.11526856596606427,10000,10000,0,1.0,ok
a1_5,looping,S0_full13,macro,,ap_lift,0.4040609951077707,0.41651388997396915,0.33362868486338715,0.5056523707256393,0.17202368586225214,10000,10000,0,1.0,ok
a1_5,looping,S1_no_termination,macro,,ap,0.8497950981293435,0.8663994895007554,0.7675058338047949,0.9480521737929372,0.1805463399881423,10000,10000,0,1.0,ok
a1_5,looping,S1_no_termination,macro,,f1,0.8946277727741541,0.8933781063112545,0.8321813525055655,0.9437934493261505,0.11161209682058504,10000,10000,0,1.0,ok
a1_5,looping,S1_no_termination,macro,,ap_lift,0.4030147950990405,0.4157270879665338,0.33266686342259727,0.5045929257892627,0.17192606236666547,10000,10000,0,1.0,ok
a1_5,looping,S2_no_repetition,macro,,ap,0.8191435228896013,0.8343604535722029,0.7206336508210127,0.9284379292426613,0.2078042784216486,10000,10000,0,1.0,ok
a1_5,looping,S2_no_repetition,macro,,f1,0.8705061119146885,0.8689969058989504,0.8073909196254357,0.9220574120586261,0.11466649243319038,10000,10000,0,1.0,ok
a1_5,looping,S2_no_repetition,macro,,ap_lift,0.37236321985929843,0.38349874446562937,0.2930519068936317,0.4820968255448514,0.1890449186512197,10000,10000,0,1.0,ok
a1_5,looping,S3_no_activity_volume,macro,,ap,0.8997056100953249,0.9111890483493015,0.8256122846241113,0.9703246873631508,0.14471240273903951,10000,10000,0,1.0,ok
a1_5,looping,S3_no_activity_volume,macro,,f1,0.8250958782997424,0.8192847783507835,0.7246782229070365,0.8930305455804356,0.16835232267339906,10000,10000,0,1.0,ok
a1_5,looping,S3_no_activity_volume,macro,,ap_lift,0.4529253070650218,0.4594730918854597,0.37953725337934047,0.5454770657101999,0.16593981233085947,10000,10000,0,1.0,ok
a1_5,looping,S4_no_error,macro,,ap,0.8585435979682172,0.8722975802205537,0.7845488138897841,0.9464381592235116,0.16188934533372745,10000,10000,0,1.0,ok
a1_5,looping,S4_no_error,macro,,f1,0.8763343937787205,0.8749889617201804,0.8149978882187691,0.9264288777867163,0.11143098956794728,10000,10000,0,1.0,ok
a1_5,looping,S4_no_error,macro,,ap_lift,0.41176329493791425,0.4217463789098471,0.3419925618105309,0.5095728104442324,0.16758024863370152,10000,10000,0,1.0,ok
a1_5,looping,S5_no_termination_or_repetition,macro,,ap,0.8178933441564775,0.8333336319937114,0.7187111647796073,0.9284581546296768,0.20974698985006957,10000,10000,0,1.0,ok
a1_5,looping,S5_no_termination_or_repetition,macro,,f1,0.8683531731214434,0.8662520165078663,0.8029705812673327,0.9203406944761915,0.11737011320885882,10000,10000,0,1.0,ok
a1_5,looping,S5_no_termination_or_repetition,macro,,ap_lift,0.37111304112617444,0.3822654205597365,0.29066925900842655,0.4804058388255422,0.18973657981711567,10000,10000,0,1.0,ok
a1_5,looping,S6_termination_repetition_only,macro,,ap,0.9013561044401229,0.9120582604139884,0.8511205990779143,0.9625414542331728,0.11142085515525857,10000,10000,0,1.0,ok
a1_5,looping,S6_termination_repetition_only,macro,,f1,0.8470739002777643,0.8424137232276767,0.7428354830989635,0.9094561842824764,0.1666207011835129,10000,10000,0,1.0,ok
a1_5,looping,S6_termination_repetition_only,macro,,ap_lift,0.4545758014098198,0.4623852969391158,0.3787004543395453,0.5505367312896827,0.17183627695013742,10000,10000,0,1.0,ok
