target,held_out_group,variant_id,delta_AP,delta_F1,delta_AP_lift,macro_delta_AP,macro_delta_F1,pooled_delta_AP,pooled_delta_F1,retained_AP_lift_ratio,mixed_domain_ap_decline_count,mixed_domain_count,domains_with_ap_decline_gte_0p05,frozen_dependency_classification
side_effect,workarena,S3_no_activity_volume,-0.002908381090332767,0.0,-0.002908381090332767,0.005984345769931287,-0.038054538054538053,0.0011076829416584097,-0.0030321406913280807,,2,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,assistantbench,S4_no_error,,,,0.0030900942520903085,-0.017275317275317274,0.011295876356577798,-0.01741122565864834,,1,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,visualwebarena,S4_no_error,-0.007017543859649117,-0.06293706293706294,-0.007017543859649117,0.0030900942520903085,-0.017275317275317274,0.011295876356577798,-0.01741122565864834,,1,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,webarena,S4_no_error,0.011556385393693386,0.011111111111111113,0.011556385393693386,0.0030900942520903085,-0.017275317275317274,0.011295876356577798,-0.01741122565864834,,1,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,workarena,S4_no_error,0.00473144122222666,0.0,0.00473144122222666,0.0030900942520903085,-0.017275317275317274,0.011295876356577798,-0.01741122565864834,,1,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,assistantbench,S5_no_termination_or_repetition,,,,-0.003178484239692851,-0.04829519345648378,-0.0015539797178196271,-0.029068784857191145,,3,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,visualwebarena,S5_no_termination_or_repetition,-0.005952380952380945,-0.15384615384615385,-0.005952380952380945,-0.003178484239692851,-0.04829519345648378,-0.0015539797178196271,-0.029068784857191145,,3,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,webarena,S5_no_termination_or_repetition,-0.0007483046874218607,-0.05555555555555555,-0.0007483046874218607,-0.003178484239692851,-0.04829519345648378,-0.0015539797178196271,-0.029068784857191145,,3,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,workarena,S5_no_termination_or_repetition,-0.002834767079275765,0.06451612903225806,-0.002834767079275765,-0.003178484239692851,-0.04829519345648378,-0.0015539797178196271,-0.029068784857191145,,3,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,assistantbench,S6_termination_repetition_only,,,,0.0007204734183738903,-0.05178255178255178,0.002608317322520072,-0.039383759990733236,,2,3,0,sufficiency_only_not_dependency_grade
side_effect,visualwebarena,S6_termination_repetition_only,-0.000543024227234748,-0.15384615384615385,-0.000543024227234748,0.0007204734183738903,-0.05178255178255178,0.002608317322520072,-0.039383759990733236,,2,3,0,sufficiency_only_not_dependency_grade
side_effect,webarena,S6_termination_repetition_only,0.003915684792433927,-0.0015015015015014954,0.003915684792433927,0.0007204734183738903,-0.05178255178255178,0.002608317322520072,-0.039383759990733236,,2,3,0,sufficiency_only_not_dependency_grade
side_effect,workarena,S6_termination_repetition_only,-0.001211240310077518,0.0,-0.001211240310077518,0.0007204734183738903,-0.05178255178255178,0.002608317322520072,-0.039383759990733236,,2,3,0,sufficiency_only_not_dependency_grade
looping,assistantbench,S0_full13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,0,reference
looping,visualwebarena,S0_full13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,0,reference
looping,webarena,S0_full13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,0,reference
looping,workarena,S0_full13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,0,reference
