target,baseline_id,outer_fold,config_id,threshold,inner_f1,inner_precision,inner_recall,selected
success,B2,5,B2_C10p0_cw_balanced,0.75,0.5555555555555556,0.625,0.5,False
success,B2,5,B2_C10p0_cw_balanced,0.8,0.47058823529411764,0.5714285714285714,0.4,False
success,B2,5,B2_C10p0_cw_balanced,0.85,0.5,0.6666666666666666,0.4,False
success,B2,5,B2_C10p0_cw_balanced,0.9,0.2857142857142857,0.5,0.2,False
success,B2,5,B2_C10p0_cw_balanced,0.95,0.0,0.0,0.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.05,0.5,0.3333333333333333,1.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.1,0.5,0.3333333333333333,1.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.15,0.5,0.3333333333333333,1.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.2,0.5,0.3333333333333333,1.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.25,0.5,0.3333333333333333,1.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.3,0.5,0.3333333333333333,1.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.35,0.5,0.3333333333333333,1.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.4,0.5,0.3333333333333333,1.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.45,0.5,0.3333333333333333,1.0,True
success,B3,1,B3_T2_C0p1_cw_balanced,0.5,0.14285714285714285,0.25,0.1,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.55,0.18181818181818182,1.0,0.1,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.6,0.0,0.0,0.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.65,0.0,0.0,0.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.7,0.0,0.0,0.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.75,0.0,0.0,0.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.8,0.0,0.0,0.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.85,0.0,0.0,0.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.9,0.0,0.0,0.0,False
success,B3,1,B3_T2_C0p1_cw_balanced,0.95,0.0,0.0,0.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.05,0.45,0.2903225806451613,1.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.1,0.45,0.2903225806451613,1.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.15,0.45,0.2903225806451613,1.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.2,0.45,0.2903225806451613,1.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.25,0.45,0.2903225806451613,1.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.3,0.46153846153846156,0.3,1.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.35,0.56,0.4375,0.7777777777777778,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.4,0.7368421052631579,0.7,0.7777777777777778,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.45,0.8235294117647058,0.875,0.7777777777777778,True
success,B3,2,B3_T1_C1p0_cw_balanced,0.5,0.75,0.8571428571428571,0.6666666666666666,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.55,0.36363636363636365,1.0,0.2222222222222222,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.6,0.0,0.0,0.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.65,0.0,0.0,0.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.7,0.0,0.0,0.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.75,0.0,0.0,0.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.8,0.0,0.0,0.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.85,0.0,0.0,0.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.9,0.0,0.0,0.0,False
success,B3,2,B3_T1_C1p0_cw_balanced,0.95,0.0,0.0,0.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.05,0.5,0.3333333333333333,1.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.1,0.5,0.3333333333333333,1.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.15,0.5,0.3333333333333333,1.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.2,0.5,0.3333333333333333,1.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.25,0.5,0.3333333333333333,1.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.3,0.5,0.3333333333333333,1.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.35,0.6666666666666666,1.0,0.5,True
success,B3,3,B3_T2_C0p1_cw_none,0.4,0.0,0.0,0.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.45,0.0,0.0,0.0,False
