metric_name,target,exact_value,display_value,source_artifact,table_id,figure_id,allowed_sections,rounding_rule,verified
AP,Side Effect|benchmark=assistantbench,0.044366133550194274,0.044,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,Table4_Benchmark_Heterogeneity,,Results R6;Limitations;Appendix,predictive_metric_3_decimal_places,true
F1,Side Effect|benchmark=assistantbench,0,0.000,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,Table4_Benchmark_Heterogeneity,,Results R6;Limitations;Appendix,predictive_metric_3_decimal_places,true
AP,Side Effect|benchmark=visualwebarena,0.13641754238732393,0.136,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,Table4_Benchmark_Heterogeneity,,Results R6;Limitations;Appendix,predictive_metric_3_decimal_places,true
F1,Side Effect|benchmark=visualwebarena,0.19858156028368795,0.199,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,Table4_Benchmark_Heterogeneity,,Results R6;Limitations;Appendix,predictive_metric_3_decimal_places,true
AP,Side Effect|benchmark=webarena,0.10240745247563374,0.102,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,Table4_Benchmark_Heterogeneity,,Results R6;Limitations;Appendix,predictive_metric_3_decimal_places,true
F1,Side Effect|benchmark=webarena,0.15384615384615385,0.154,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,Table4_Benchmark_Heterogeneity,,Results R6;Limitations;Appendix,predictive_metric_3_decimal_places,true
AP,Side Effect|benchmark=workarena,0.11650994453207834,0.117,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,Table4_Benchmark_Heterogeneity,,Results R6;Limitations;Appendix,predictive_metric_3_decimal_places,true
F1,Side Effect|benchmark=workarena,0.11428571428571428,0.114,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,Table4_Benchmark_Heterogeneity,,Results R6;Limitations;Appendix,predictive_metric_3_decimal_places,true
top_structural_signals:observation_char_count_total,success,-2.2036341198743488,-2.204,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,coefficient_3_decimal_places,true
top_structural_signals:observation_char_count_mean_nonempty,success,1.8794611945779307,1.879,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,coefficient_3_decimal_places,true
top_structural_signals:action_char_count_total,success,0.7322218588981673,0.732,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,coefficient_3_decimal_places,true
top_structural_signals:has_explicit_termination_signal,success,-0.6098788036976219,-0.610,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,coefficient_3_decimal_places,true
top_structural_signals:unique_action_ratio,success,0.5203365042865755,0.520,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,coefficient_3_decimal_places,true
metadata_AP,success,0.3705913858043187,0.371,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,predictive_metric_3_decimal_places,true
metadata_AP_lift,success,0.0685080524709854,0.069,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,predictive_metric_3_decimal_places,true
frozen_B2_dev_AP,success,0.5465428107647715,0.547,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,predictive_metric_3_decimal_places,true
